Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MakeAnAppointment,MacOS - Safari 17,,,10-05-2024 17:40:23,10-05-2024 17:42:52,"2m - 29,388s",PASSED
,,,,,,,
Test Cases/Web_tests/MakeAnAppointment,MacOS - Safari 17,,,10-05-2024 17:40:23,10-05-2024 17:41:24,"1m - 1,265s",PASSED
example.MyKeyWords.AppLogin(),MacOS - Safari 17,,,10-05-2024 17:40:23,10-05-2024 17:41:17,"53,970s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",MacOS - Safari 17,,,10-05-2024 17:41:17,10-05-2024 17:41:18,"1,017s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_29""))",MacOS - Safari 17,,,10-05-2024 17:41:18,10-05-2024 17:41:19,"1,012s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""rdv"")",MacOS - Safari 17,,,10-05-2024 17:41:19,10-05-2024 17:41:21,"1,546s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",MacOS - Safari 17,,,10-05-2024 17:41:21,10-05-2024 17:41:21,"0,684s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_rdv""))",MacOS - Safari 17,,,10-05-2024 17:41:21,10-05-2024 17:41:22,"0,833s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Medicare""))",MacOS - Safari 17,,,10-05-2024 17:41:22,10-05-2024 17:41:23,"0,880s",PASSED
closeBrowser(),MacOS - Safari 17,,,10-05-2024 17:41:23,10-05-2024 17:41:24,"0,915s",PASSED
,,,,,,,
Test Cases/Web_tests/Loop,MacOS - Safari 17,,,10-05-2024 17:41:24,10-05-2024 17:42:52,"1m - 27,941s",PASSED
example.MyKeyWords.AppLogin(),MacOS - Safari 17,,,10-05-2024 17:41:24,10-05-2024 17:42:29,"1m - 4,924s",PASSED
for (def n : (0..2)),MacOS - Safari 17,,,10-05-2024 17:42:29,10-05-2024 17:42:51,"21,991s",PASSED
closeBrowser(),MacOS - Safari 17,,,10-05-2024 17:42:51,10-05-2024 17:42:52,"0,902s",PASSED
