Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:06,10-05-2024 17:43:17,"3m - 11,128s",PASSED
,,,,,,,
Test Cases/Web_tests/Login,Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:06,10-05-2024 17:40:50,"44,061s",PASSED
"openBrowser("""")",Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:07,10-05-2024 17:40:36,"29,599s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:36,10-05-2024 17:40:37,"0,893s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:37,10-05-2024 17:40:39,"1,631s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:39,10-05-2024 17:40:42,"3,133s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:42,10-05-2024 17:40:44,"2,663s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:44,10-05-2024 17:40:46,"1,870s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""))",Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:46,10-05-2024 17:40:48,"1,468s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""))",Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:48,10-05-2024 17:40:49,"1,204s",PASSED
closeBrowser(),Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:49,10-05-2024 17:40:50,"1,132s",PASSED
,,,,,,,
Test Cases/Web_tests/LoginFail_Pwd,Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:50,10-05-2024 17:42:02,"1m - 12,134s",PASSED
"openBrowser("""")",Windows - Chrome 122.0.0.0,,,10-05-2024 17:40:50,10-05-2024 17:41:49,"58,532s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Windows - Chrome 122.0.0.0,,,10-05-2024 17:41:49,10-05-2024 17:41:50,"0,920s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Windows - Chrome 122.0.0.0,,,10-05-2024 17:41:50,10-05-2024 17:41:51,"1,536s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Windows - Chrome 122.0.0.0,,,10-05-2024 17:41:51,10-05-2024 17:41:54,"2,573s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""b/98lgFmTtuLvynNFOQHnA=="")",Windows - Chrome 122.0.0.0,,,10-05-2024 17:41:54,10-05-2024 17:41:55,"1,466s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Windows - Chrome 122.0.0.0,,,10-05-2024 17:41:55,10-05-2024 17:41:58,"2,860s",PASSED
