Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MakeAnAppointment,Chrome 123.0.0.0,,,11-04-2024 16:11:02,11-04-2024 16:11:34,"32,334s",PASSED
,,,,,,,
Test Cases/MakeAnAppointment,Chrome 123.0.0.0,,,11-04-2024 16:11:02,11-04-2024 16:11:17,"14,649s",PASSED
example.MyKeyWords.AppLogin(),Chrome 123.0.0.0,,,11-04-2024 16:11:03,11-04-2024 16:11:13,"10,588s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",Chrome 123.0.0.0,,,11-04-2024 16:11:13,11-04-2024 16:11:14,"0,384s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_29""))",Chrome 123.0.0.0,,,11-04-2024 16:11:14,11-04-2024 16:11:14,"0,541s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""rdv"")",Chrome 123.0.0.0,,,11-04-2024 16:11:14,11-04-2024 16:11:15,"0,831s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 123.0.0.0,,,11-04-2024 16:11:15,11-04-2024 16:11:15,"0,508s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_rdv""))",Chrome 123.0.0.0,,,11-04-2024 16:11:15,11-04-2024 16:11:16,"0,658s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Medicare""))",Chrome 123.0.0.0,,,11-04-2024 16:11:16,11-04-2024 16:11:16,"0,364s",PASSED
closeBrowser(),Chrome 123.0.0.0,,,11-04-2024 16:11:16,11-04-2024 16:11:17,"0,434s",PASSED
,,,,,,,
Test Cases/Loop,Chrome 123.0.0.0,,,11-04-2024 16:11:17,11-04-2024 16:11:34,"17,409s",PASSED
example.MyKeyWords.AppLogin(),Chrome 123.0.0.0,,,11-04-2024 16:11:17,11-04-2024 16:11:22,"4,903s",PASSED
for (def n : (0..2)),Chrome 123.0.0.0,,,11-04-2024 16:11:22,11-04-2024 16:11:34,"11,892s",PASSED
closeBrowser(),Chrome 123.0.0.0,,,11-04-2024 16:11:34,11-04-2024 16:11:34,"0,411s",PASSED
