Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MakeAnAppointment,MacOS - Safari 17,,,10-05-2024 17:40:08,10-05-2024 17:42:13,"2m - 5,351s",PASSED
,,,,,,,
Test Cases/Web_tests/MakeAnAppointment,MacOS - Safari 17,,,10-05-2024 17:40:08,10-05-2024 17:40:47,"39,159s",PASSED
example.MyKeyWords.AppLogin(),MacOS - Safari 17,,,10-05-2024 17:40:08,10-05-2024 17:40:40,"32,051s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",MacOS - Safari 17,,,10-05-2024 17:40:40,10-05-2024 17:40:41,"0,738s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_29""))",MacOS - Safari 17,,,10-05-2024 17:40:41,10-05-2024 17:40:42,"0,985s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""rdv"")",MacOS - Safari 17,,,10-05-2024 17:40:42,10-05-2024 17:40:44,"1,657s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",MacOS - Safari 17,,,10-05-2024 17:40:44,10-05-2024 17:40:45,"0,830s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_rdv""))",MacOS - Safari 17,,,10-05-2024 17:40:45,10-05-2024 17:40:45,"0,864s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Medicare""))",MacOS - Safari 17,,,10-05-2024 17:40:45,10-05-2024 17:40:46,"0,672s",PASSED
closeBrowser(),MacOS - Safari 17,,,10-05-2024 17:40:46,10-05-2024 17:40:47,"0,846s",PASSED
,,,,,,,
Test Cases/Web_tests/Loop,MacOS - Safari 17,,,10-05-2024 17:40:47,10-05-2024 17:42:13,"1m - 25,954s",PASSED
example.MyKeyWords.AppLogin(),MacOS - Safari 17,,,10-05-2024 17:40:47,10-05-2024 17:41:52,"1m - 4,896s",PASSED
for (def n : (0..2)),MacOS - Safari 17,,,10-05-2024 17:41:52,10-05-2024 17:42:12,"20,089s",PASSED
closeBrowser(),MacOS - Safari 17,,,10-05-2024 17:42:12,10-05-2024 17:42:13,"0,847s",PASSED
