Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WD,Edge Chromium 124,,,27-05-2024 16:39:52,27-05-2024 17:09:19,"29m - 27,244s",FAILED
,,,,,,,
Test Cases/WD_tests/TC029 Hire Employee,Edge Chromium 124,,,27-05-2024 16:39:52,27-05-2024 16:46:08,"6m - 15,812s",PASSED
"openBrowser("""")",Edge Chromium 124,,,27-05-2024 16:39:53,27-05-2024 16:39:57,"4,488s",PASSED
maximizeWindow(),Edge Chromium 124,,,27-05-2024 16:39:57,27-05-2024 16:39:58,"0,165s",PASSED
"navigateToUrl(""https://impl.workday.com/wday/authgwy/deloittecansrv_dpt1/login.htmld"")",Edge Chromium 124,,,27-05-2024 16:39:58,27-05-2024 16:39:59,"1,860s",PASSED
"setText(findTestObject(""Object Repository/Page_Workday deloittecansrv_dpt1-Ouvrir une_d947d1/input_concat(Nom d, , utilisateur)_gwt-Text_b82a8a""), ""momoussaoui-impl"")",Edge Chromium 124,,,27-05-2024 16:39:59,27-05-2024 16:40:01,"1,181s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Workday deloittecansrv_dpt1-Ouvrir une_d947d1/input_Mot de passe_gwt-PasswordTextBox GDPVGE1BC3B""), ""ZnA8ZS7WWbLgAM3CRORbJA=="")",Edge Chromium 124,,,27-05-2024 16:40:01,27-05-2024 16:40:01,"0,489s",PASSED
"click(findTestObject(""Object Repository/Page_Workday deloittecansrv_dpt1-Ouvrir une_d947d1/button_Ouvrir une session""))",Edge Chromium 124,,,27-05-2024 16:40:01,27-05-2024 16:40:02,"0,451s",PASSED
"click(findTestObject(""Page_Home - Workday/input_Add Shortcuts_css-gow7vg-InputElement_4f4787""))",Edge Chromium 124,,,27-05-2024 16:40:02,27-05-2024 16:40:06,"3,976s",PASSED
"setText(findTestObject(""Page_Home - Workday/input_Add Shortcuts_css-gow7vg-InputElement_4f4787""), ""start proxy"")",Edge Chromium 124,,,27-05-2024 16:40:06,27-05-2024 16:40:07,"1,802s",PASSED
"click(findTestObject(""Object Repository/Page_Search Results - Saved Categories - Workday/div_Start Proxy""))",Edge Chromium 124,,,27-05-2024 16:40:07,27-05-2024 16:40:08,"1,180s",PASSED
"click(findTestObject(""Page_Start Proxy - Workday/input_Act As_56279654--uid5-input""))",Edge Chromium 124,,,27-05-2024 16:40:08,27-05-2024 16:40:40,"31,425s",PASSED
"setText(findTestObject(""Object Repository/Page_Start Proxy - Workday/input_Act As_56279654--uid5-input""), ""logan McNeil"")",Edge Chromium 124,,,27-05-2024 16:40:40,27-05-2024 16:41:43,"1m - 2,763s",PASSED
"sendKeys(findTestObject(""Object Repository/Page_Start Proxy - Workday/input_Act As_56279654--uid5-input""), Keys.chord(ENTER))",Edge Chromium 124,,,27-05-2024 16:41:43,27-05-2024 16:42:14,"31,616s",PASSED
"click(findTestObject(""Object Repository/Page_Start Proxy - Workday/span_OK""))",Edge Chromium 124,,,27-05-2024 16:42:14,27-05-2024 16:42:46,"31,527s",PASSED
"click(findTestObject(""Page_Home - Workday/input_Add Shortcuts_css-gow7vg-InputElement_4f4787""))",Edge Chromium 124,,,27-05-2024 16:42:46,27-05-2024 16:42:50,"3,907s",PASSED
"setText(findTestObject(""Page_Home - Workday/input_Add Shortcuts_css-gow7vg-InputElement_4f4787""), ""hire employee"")",Edge Chromium 124,,,27-05-2024 16:42:50,27-05-2024 16:42:51,"0,836s",PASSED
"click(findTestObject(""Object Repository/Page_Home - Workday/div_Hire Employee""))",Edge Chromium 124,,,27-05-2024 16:42:51,27-05-2024 16:42:52,"1,274s",PASSED
"click(findTestObject(""Object Repository/Page_Hire Employee - Workday/path_Country_wd-icon-fill""))",Edge Chromium 124,,,27-05-2024 16:42:52,27-05-2024 16:42:56,"4,052s",PASSED
"setText(findTestObject(""Object Repository/Page_Hire Employee - Workday/input_Country_56594650--uid6-input""), ""canada"")",Edge Chromium 124,,,27-05-2024 16:42:56,27-05-2024 16:42:57,"1,329s",PASSED
"sendKeys(findTestObject(""Object Repository/Page_Hire Employee - Workday/input_Country_56594650--uid6-input""), Keys.chord(ENTER))",Edge Chromium 124,,,27-05-2024 16:42:57,27-05-2024 16:42:58,"0,509s",PASSED
"setText(findTestObject(""Object Repository/Page_Hire Employee - Workday/input_First Name_56594643--uid56-input""), ""Bowen"")",Edge Chromium 124,,,27-05-2024 16:42:58,27-05-2024 16:44:01,"1m - 2,930s",PASSED
"setText(findTestObject(""Object Repository/Page_Hire Employee - Workday/input_Last Name_56594643--uid58-input""), ""Yang"")",Edge Chromium 124,,,27-05-2024 16:44:01,27-05-2024 16:45:04,"1m - 2,975s",PASSED
"click(findTestObject(""Object Repository/Page_Hire Employee - Workday/span_Search""))",Edge Chromium 124,,,27-05-2024 16:45:04,27-05-2024 16:45:35,"31,464s",PASSED
"click(findTestObject(""Object Repository/Page_Hire Employee - Workday/button_Search_1""))",Edge Chromium 124,,,27-05-2024 16:45:35,27-05-2024 16:46:07,"31,436s",PASSED
"takeFullPageScreenshotAsCheckpoint(""t3"", STOP_ON_FAILURE)",Edge Chromium 124,,,27-05-2024 16:46:07,27-05-2024 16:46:08,"1,704s",PASSED
,,,,,,,
Test Cases/WD_tests/TC002 Create Pre Hire,Edge Chromium 124,,,27-05-2024 16:51:11,27-05-2024 16:58:54,"7m - 42,366s",PASSED
"openBrowser("""")",Edge Chromium 124,,,27-05-2024 16:51:11,27-05-2024 16:51:15,"3,821s",PASSED
"navigateToUrl(""https://impl.workday.com/wday/authgwy/deloittecansrv_dpt1/login.htmld"")",Edge Chromium 124,,,27-05-2024 16:51:15,27-05-2024 16:51:17,"1,773s",PASSED
maximizeWindow(),Edge Chromium 124,,,27-05-2024 16:51:17,27-05-2024 16:51:17,"0,304s",PASSED
"setText(findTestObject(""Object Repository/Page_Workday deloittecansrv_dpt1-Ouvrir une_d947d1/input_concat(Nom d, , utilisateur)_gwt-Text_b82a8a""), ""momoussaoui-impl"")",Edge Chromium 124,,,27-05-2024 16:51:17,27-05-2024 16:51:18,"0,723s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Workday deloittecansrv_dpt1-Ouvrir une_d947d1/input_Mot de passe_gwt-PasswordTextBox GDPVGE1BC3B""), ""ZnA8ZS7WWbLgAM3CRORbJA=="")",Edge Chromium 124,,,27-05-2024 16:51:18,27-05-2024 16:51:18,"0,560s",PASSED
"click(findTestObject(""Object Repository/Page_Workday deloittecansrv_dpt1-Ouvrir une_d947d1/button_Ouvrir une session""))",Edge Chromium 124,,,27-05-2024 16:51:18,27-05-2024 16:51:19,"0,534s",PASSED
"click(findTestObject(""Page_Home - Workday/input_Add Shortcuts_css-gow7vg-InputElement_4f4787""))",Edge Chromium 124,,,27-05-2024 16:51:19,27-05-2024 16:51:23,"4,235s",PASSED
"setText(findTestObject(""Page_Home - Workday/input_Add Shortcuts_css-gow7vg-InputElement_4f4787""), ""Create Pre-Hire"")",Edge Chromium 124,,,27-05-2024 16:51:23,27-05-2024 16:51:24,"0,839s",PASSED
"click(findTestObject(""Object Repository/Page_Home - Workday/div_Create Position""))",Edge Chromium 124,,,27-05-2024 16:51:24,27-05-2024 16:51:25,"1,145s",PASSED
"click(findTestObject(""Object Repository/Page_Create Pre-Hire - Workday/svg_Country_wd-icon-x-small wd-icon""))",Edge Chromium 124,,,27-05-2024 16:51:25,27-05-2024 16:51:27,"2,097s",PASSED
"setText(findTestObject(""Object Repository/Page_Create Pre-Hire - Workday/input_Country_56277733--uid11-input""), ""canada"")",Edge Chromium 124,,,27-05-2024 16:51:27,27-05-2024 16:52:30,"1m - 2,928s",PASSED
"sendKeys(findTestObject(""Object Repository/Page_Create Pre-Hire - Workday/input_Country_56277733--uid11-input""), Keys.chord(ENTER))",Edge Chromium 124,,,27-05-2024 16:52:30,27-05-2024 16:53:02,"31,565s",PASSED
"setText(findTestObject(""Page_Create Pre-Hire - Workday/input_Prefix_56551055--uid21-input""), ""mr"")",Edge Chromium 124,,,27-05-2024 16:53:02,27-05-2024 16:54:05,"1m - 2,924s",PASSED
"sendKeys(findTestObject(""Page_Create Pre-Hire - Workday/input_Prefix_56551055--uid21-input""), Keys.chord(ENTER))",Edge Chromium 124,,,27-05-2024 16:54:05,27-05-2024 16:54:36,"31,544s",PASSED
"click(findTestObject(""Object Repository/Page_Create Pre-Hire - Workday/input_Miss_iqn86""))",Edge Chromium 124,,,27-05-2024 16:54:36,27-05-2024 16:55:08,"31,604s",PASSED
"setText(findTestObject(""Page_Create Pre-Hire - Workday/input_First Name_56551056--uid22-input""), ""mmo"")",Edge Chromium 124,,,27-05-2024 16:55:08,27-05-2024 16:55:09,"1,167s",PASSED
"setText(findTestObject(""Object Repository/Page_Create Pre-Hire - Workday/input_Last Name_56551056--uid24-input""), ""Fields"")",Edge Chromium 124,,,27-05-2024 16:55:09,27-05-2024 16:55:10,"0,795s",PASSED
"click(findTestObject(""Object Repository/Page_Create Pre-Hire - Workday/div_Contact Information""))",Edge Chromium 124,,,27-05-2024 16:55:10,27-05-2024 16:55:41,"31,520s",PASSED
"click(findTestObject(""Object Repository/Page_Create Pre-Hire - Workday/span_Add""))",Edge Chromium 124,,,27-05-2024 16:55:41,27-05-2024 16:55:42,"0,640s",PASSED
"click(findTestObject(""Object Repository/Page_Create Pre-Hire - Workday/input_Phone Extension_56106324--uid27-input""))",Edge Chromium 124,,,27-05-2024 16:55:42,27-05-2024 16:56:13,"31,527s",PASSED
